"nationality","count","age","overall","potential","pac","sho","pas","dri","def","phy","longitude","latitude"
"Afghanistan","3","22.0000","56.3333","66.3333","66.0000","44.3333","55.3333","60.0000","45.3333","53.3333","65","33"
"Albania","37","24.7568","66.3514","70.7568","68.4865","54.7027","57.7027","63.5946","47.5946","64.5676","20","41"
"Algeria","59","26.5763","70.6102","73.5254","68.7288","58.6102","63.8305","68.4407","50.0169","66.4915","3","28"
"Angola","15","25.6000","68.2667","72.3333","75.6667","57.6000","55.6667","66.6000","43.4667","68.1333","18.5","-12.5"
"Antigua and Barbuda","4","23.0000","59.5000","67.7500","85.5000","49.2500","49.5000","61.5000","36.2500","60.2500","-61.8","17.05"
"Argentina","962","25.8638","67.7183","72.4802","67.8472","55.3202","58.8773","64.1507","48.8690","64.4511","-64","-34"
"Armenia","14","26.0714","66.9286","70.2143","67.1429","60.0000","56.7857","64.2143","37.5000","63.0714","45","40"
"Australia","233","24.1931","62.5064","68.3991","68.3004","49.3734","53.8798","58.7511","48.7425","63.1931","133","-27"
"Austria","266","24.5263","64.4962","69.7669","66.2180","52.2519","55.5263","60.3759","48.3195","64.6015","13.3333","47.3333"
"Azerbaijan","7","25.0000","64.2857","69.0000","68.8571","59.7143","55.4286","63.1429","41.0000","67.8571","47.5","40.5"
"Barbados","1","30.0000","65.0000","65.0000","90.0000","61.0000","54.0000","65.0000","28.0000","70.0000","-59.5333","13.1667"
"Belarus","9","29.5556","70.7778","70.8889","63.3333","60.2222","65.4444","65.4444","56.3333","65.6667","28","53"
"Belgium","266","23.9549","68.2218","74.1128","68.2970","56.3496","61.4774","65.6992","49.1391","64.5977","4","50.8333"
"Belize","1","24.0000","63.0000","66.0000","76.0000","61.0000","53.0000","63.0000","39.0000","76.0000","-88.75","17.25"
"Benin","15","25.6000","67.9333","72.0000","65.4000","54.1333","55.8000","59.4667","50.4000","72.2667","2.25","9.5"
"Bermuda","4","27.0000","63.2500","66.0000","77.5000","58.0000","52.2500","65.5000","37.2500","58.2500","-64.75","32.3333"
"Bolivia","30","27.2667","65.7000","68.3333","64.4333","47.7667","53.6667","58.3000","52.1000","60.2667","-65","-17"
"Bosnia and Herzegovina","56","26.1786","69.5000","73.0357","64.1786","56.6786","60.7857","63.7679","51.3929","68.8393","18","44"
"Brazil","806","27.1873","70.8561","72.8350","69.1067","58.1005","61.4702","66.4256","52.4764","66.7630","-55","-10"
"Bulgaria","34","27.4706","67.1471","69.7353","66.9412","53.5294","56.0294","60.0294","50.6765","65.3824","25","43"
"Burkina Faso","16","24.7500","68.5625","73.0625","76.3750","56.7500","57.1250","67.3125","45.7500","66.6250","-2","13"
"Burundi","1","27.0000","64.0000","64.0000","77.0000","65.0000","53.0000","56.0000","21.0000","62.0000","30","-3.5"
"Cameroon","86","24.6395","67.4535","72.5581","71.3953","52.7209","56.7326","61.7326","52.8605","69.6860","12","6"
